Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Solution
334,The remainder when 784 is divided by 342 is,0,1,49,341,b,"784 = (73)28 = (343)28.
Now, (xn – an) is divisible by (x – a) for all values of n.
\ [(343)28 – 1] is divisible by (343 – 1)
⇒ [(343)28 – 1] is divisible by 342
⇒ (784 – 1) is divisible by 342
⇒ On dividing 784 by 342, we get 1 as remainder."
335,The remainder when 260 is divided by 5 equals,0,1,2,3,b,"260 = (22)30 = 430.
When n is even, (xn – an) is divisible by (x + a).
\ (430 – 130) is divisible by (4 + 1)
⇒ (430 – 1) is divisible by 5 ⇒ (260 – 1) is divisible by 5.
⇒ On dividing 260 by 5, we get 1 as remainder."
336,"By how many of the following numbers is 212 – 1
divisible?
2, 3, 5, 7, 10, 11, 13, 14",4,5,6,7,a,"(212 – 1) = (4096 – 1) = 4095, which is clearly divisible by
3, 5, 7 and 13 i.e. four numbers in all."
337,"The remainder when (1523 + 2323) is divided by 19,
is",0,4,15,18,a,"(xn + an) is divisible by (x + a) when n is odd.
\ (1523 + 2323) is divisible by (15 + 23)NUMBER SYSTEM
47
⇒ (1523 + 2323) is divisible by 38 and hence by 19
⇒ On dividing (1523 + 2323) by 19, we get 0 as remainder."
338,"When 2256 is divided by 17, the remainder would
be",1,14,16,None of these,a,"When n is even, (xn – an) is divisible by (x + a).
Now, 2256 = (24)64 = (16)64.
\ (1664 – 164) is divisible by (16 + 1)
⇒ (1664 – 1) is divisible by 17
⇒ (2256 – 1) is divisible by 17
⇒ On dividing 2256 by 17, we get 1 as remainder."
339,"76n – 66n, where n is an integer > 0, is divisible by",13,127,559,All of these,d,"When n is even, (xn – an) is divisible by both (x – a) as
well as (x + a).
Now, (76n – 66n) = [(73)2n – (63)2n] = [(343)2n – (216)2n].
\ (76n – 66n) is divisible by both (7 – 6) and (7 + 6)
⇒ (76n – 66n) is divisible by 13.
And, [(343)2n – (216)2n] is divisible by both (343 – 216) and
(343 + 216)
⇒ (76n – 66n) is divisible by both 127 and 559."
340,"It is given that (232 + 1) is exactly divisible by a
certain number. Which of the following is also
definitely divisible by the same number?
(S.S.C., 2007)",216 + 1,216 – 1,7 × 233,296 + 1,d,"Let 232 = x. Then, (232 + 1) = (x + 1).
Let (x + 1) be completely divisible by the natural number N.
Then, (296 + 1) = [(232)3 + 1] = (x3 + 1) = (x + 1) (x2 – x + 1),
which is completely divisible by N since (x + 1) is divisible
by N."
341,"The number (248 – 1) is exactly divisible by two
numbers between 60 and",,,,,a,"(248 – 1) = [(26)8 – 1] = (64)8 – 1.
When n is even, (xn – an) is completely divisible by both
(x – a) and (x + a).
\ (648 – 18) is divisible by both (64 – 1) and (64 + 1)
⇒ (248 – 1) is divisible by both 63 and 65."
70,"The numbers are
(A.A.O. Exam, 2010)",63 and 65,63 and 67,61 and 65,65 and 67,b,"Putting n = 1, 2, 3, 4 respectively in (2n + 1) we get:
(2 × 1 + 1) = 3, (2 × 2 + 1) = 5, (2 × 3 + 1) = 7 and (2 ×
4 + 1) = 9,
where 3, 5, 7 are prime numbers.
\ The smallest value of n for which (2n + 1) is not
prime, is n = 4."
342,"n being any odd number greater than 1, n65 – n is
always divisible by",5,13,24,None of these,c,"n65 – n = n (n64 – 1) = n(n32 – 1) (n32 + 1)
= n (n16 – 1) (n16 + 1) (n32 + 1)
= n (n8 – 1) (n8 + 1) (n16 + 1) (n32 + 1)
=
= n (n4 – 1) (n4 + 1) (n8 + 1) (n16 + 1) (n32 + 1)
= n (n2 – 1) (n2 + 1) (n4 + 1) (n8 + 1) (n16 + 1) (n32 + 1)
= (n – 1) n (n + 1) (n2 + 1) (n4 + 1) (n8 + 1)
(n16 + 1) (n32 + 1).
Clearly, (n – 1), n and (n + 1) are three consecutive numbers
and they have to be multiples of 2, 3 and 4 as n is odd.
Thus, the given number is definitely a multiple of 24."
343,Let N = 553 + 173 –,,,,,d,"Let a = 55, b = 17.
Then, N = a3 + b3 – (a + b)3 = a3 + b3 – [a3 + b3 + 3ab (a + b)]
= – 3ab (a + b) = – 3 × 55 × 17 × 72.
Clearly, N is divisible by both 3 and 17."
723,"Then, N is divisible by
(Questions 344–345):
on the following information:
Given N = +
These questions are based
1 2 3 ........ 99",both 7 and 13,both 3 and 13,both 17 and 7,"both 3 and 17
Directions",,
100,"+
+ + +",,,,,a,"– 95 ÷ 19 =
– 95
19
= – 5.
127512 18216 2024 1012
=
=
=
414 7 414 46 23
×
44
23 1012
92
92
92
×"
344,Find the last two digits of N.,00,13,19,23,b,"Taking out
10 common from 10 11 ........ 100+++
[
], we
get this expression in the form of a multiple of 10 which
has zeros as its last two digits. So, the last two digits of
the expression [
10 11 ........... 100+++
] are zeros.
Thus, the last two digits of N must be the last two digits
of the sum ( 1 2 .......... 9)
++ +
.
Now, 1 2 .......... 9 1 2 6 24 120 720 5040 40320 362880
+ +
+ =+ + + + + + +
It has clearly 13 as the last two digits.
So, the last two digits of N are 13.
+
= 2500"
345,Find the remainder when N is divided by,,,,,a,"168 = 23 × 3 × 7 and 7 7 65 432 17 53 2 16830
= × ×× ××× = ×× × = ×
24
Hence, 7 and all the factorials greater than 7 are divisible
by 168.
Now, N = 1 2 3 ........... 99 100
++ +
+ +
= 1 2 3 4 5 6a
++ + ++ + multiple of 168.
So, the remainder obtained on dividing N by 168 is the
same as that obtained on dividing ( 1 23 45 6)
+ ++ ++
by 168.
Now, 1 23 45 6+++++
= 873 = (168 × 5) + 33.
= 1 + 2 + 6 + 24 + 120 + 720
Hence, the required remainder is 33."
168,,33,67,129,153,a,"38950 is completely divisible by 410 only.
Hence ` 410 is the correct answer."
346,What is the remainder when 461 is divided by 51?,20,41,50,None of these,d,"461 = 4 × 460 = 4 × (44)15 = 4 × (256)15.
Now, (xn – an) is divisible by (x – a) for all values of n.
\ (25615 – 1) is divisible by (256 – 1) i.e. 255 and hence
by 51.
⇒ On dividing (256)15 by 51, we get 1 as remainder
⇒ On dividing 460 by 51, we get 1 as remainder
⇒ On dividing 461 by 51, remainder obtained = (4 × 1) = 4."
347,What is the remainder when 1736 is divided by 36?,1,7,19,29,a,"1736 = (172)18 = (289)18.
Now, [(289)18 – 1] is divisible by (289 – 1), i.e. 288
⇒ (1736 – 1) is divisible by 288 and hence by 36
⇒ On dividing 1736 by 36, we get 1 as remainder."
348,"Which one of the following is the common factor
of (4743 + 4343) and (4747 + 4347)?
(47 – 43)
(4743 + 4343)
(47 + 43)",,,,None of these,b,"When n is odd, (xn + an) is always divisible by (x + a).
\ Each one of (4743 + 4343) and (4747 + 4347) is divisible
by (47 + 43)."
349,"Find the product of all odd natural numbers less
than",,,,,b,"Product of all odd natural numbers less than 5000
= 1 × 3 × 5 × 7 × ........... × 4999
1 2 3 4 5 6 ............. 5000
2 4 6 8 ............ 5000
××× ×× ×
× ××× ×
5000 !
5000 !
=
2 (1 2 3 4 ........... 2500) 2 . 2500 !
××× ×
×
2500
."
5000,,,"2
2500 × 2500 !","5000 !
2500 2501
×
5000 !
2
5000
5000 !",None of these,,
350,"How many zeros will be required to number the
pages of a book containing 1000 pages?",168,184,192,216,c,"The pages of the book may be divided into 10 groups:
(1 – 100), (101 – 200), (201 – 300),..........., (901 – 1000).
Clearly, for the first group, one needs 11 zeros.
For second to ninth groups, one needs 20 zeros each.
For the tenth group, one needs 21 zeros.
So, total number of zeros required = 11 + 8 × 20 + 21 = 192."
351,"If a2 + b2 + c2 = 1, what is the maximum value of
abc?",,"1
33","1
3
2
3",1,b,"a2 + b2 + c2 = 1.
So, the maximum value of a2 b2 c2 =

333 27


111 1
×× =
.
( when sum of three positive quantities is fixed, the
product will be maximum when the quantities are equal)
Hence, maximum value of abc =
11
=
27 3 3
."
352,"Find the unit's digit in the sum of the fifth powers
of the first 100 natural numbers.",0,2,5,8,a,"Let N = 15 + 25 + 35 + ...........+ (100)5.
Then, N = (15 + 25 + 35 +.......+ 105) + (115 + 125 +...........+
205) + (215 + 225 +..........+ 305) +......+ (915 + 925 + ...........+
1005) = N1 + N2 + N3
+........+ N10.
Since each one of N1, N2, N3, .........., N10 has the same
×48
QUANTITATIVE APTITUDE
unit's digit of its terms, so unit's digit of each one of N1,
N2,......, N10 is also the same.
\ Unit's digit in N = 10 × Unit's digit of N1 = 0."
353,"If the symbol [x] denotes the greatest integer less
than or equal to x, then the value of
 1 1 1 1 2
 ++ ++ + ++
   is
   
1 49
4 4 50 4 50
  
.........
4 50",0,9,12,49,c,"Clearly, each of the 38 terms 1 1 1 1 2
   
 ++ +
   4 50 
4 4 50 4 50
, 
,
,...........,

has a value lying between 0 and 1, while each one of the
12 terms
 
 
 
1 38 1 39
1 49
++ +
4 50 4 50
,
lying between 1 and 2.
Hence, the given expression = (0 × 38) + (1 × 12) = 12."
354,"When 10025 – 25 is written in decimal notation, the
sum of its digits is",444,445,446,448,a,"10025 – 25 = (102)25 – 25 = 1050 – 25
= 1000 ..... 00 – 25 9999 ......... 9975
=
 
48 times
50 zeros
\ Sum of digits = (48 × 9) + 7 + 5 = 432 + 7 + 5 = 444."
355,"What is the number of digits in the number (1024)4
× (125)11?",35,36,37,"3830
QUANTITATIVE APTITUDE",b,"(1024)4 × (125)11 = (210)4 × (53)11 = 240 × 533 = 27 × (233 ×
533) = 27 × 1033 = 128 × 1033.
Clearly, the number has 1, 2, 8 and thirty-three zeros, i.e.
(3 + 33) = 36 digits in all."
356,"How many numbers will be there between 300 and
500, where 4 comes only one time?
(Pre.) Exam, 2016]",89,99,110,"120
[UPSSSC Lower Subordinate",b,"From 300 to 399, we note that when ‘4’ comes only one
time = 19 such instances.
From 400 to 499, we note that when ‘4’ comes only one
time = 80 such instances.
So, total = (19 + 80) = 99 such instances"
357,Which is not a prime number?,13,19,"21
[Indian Railways Gr. ‘D’ Exam, 2014]",17,c,"21 = 3 × 7 is not a prime number because 21 is a composite
number."
358,"If x = a (b – c), y = b (c – a), z = c (a – b), then the
value of
 
 ++
 

abc
x
(10 + 2) Exam, 2015]","2xyz
abc",,"0

33 3
y
  is
z
 
[SSC—CHSL","xyz
abc
3xyz
abc",d,"Given x = a (b – c), y = b (c – a); z = (a – b)
x = a (b – c)
⇒
x
a
= b – c ... (i)
Similarly, y = b (c – a)
⇒
y
b
= c – a (ii) and similarly
Adding (i), (ii) and (iii) we get

xzy
z ca b c a
c
= − =− (iii)
(
+ + =− +
a bc
b c c a ab 0
−
⇒ + += 0
xzy
a bc
  ++
 
33 3
xzy
 

a bc



= ××× =
3
xz xyz
a b c abc
y
3
[If a + b + c = 0, a3 + b3 + c3 = 3 abc]"
359,"Among the following statements, the statement which
is not correct is:
(10 + 2) Exam, 2015]",Every natural number is an integer.,Every natural number is a real number.,Every real number is a rational number.,Every integer is a rational number.,c,"Every real number is a rational number is not a correct
statement."
360,"If a + b + c = 6 and ab + bc + ca = 10 then the value
of a3 + b3 + c3 – 3abc is
(10 + 2) Exam, 2015]",36,48,"42
[SSC—CHSL",40,a,"Given
a + b + c = 6
ab + bc + ca = 10





+ −=
) z
7"
361,"If (1001 × 111) = 110000 + (11 × ___), then the number
in the blank space is
(Question 362): The following question consists
of a question and two statements I and II given below
it. You have to decide whether the data provided in the
statement(s) is/are sufficient to answer the question.
Given answer
(A) The data in statement I alone is sufficient to answer
the question while II alone is not sufficient to answer
the questions.
(B) Data in statement II alone is sufficient to answer
the question while data in statement I alone is not
sufficient to answer the question.
(C) The data in statement I alone or statement II alone
is sufficient to answer the question.
(D) The data in both Statement I and II is insufficient
to answer the question.
(E) The data in both Statement I and II is sufficient to
answer the question.",121,211,101,"1111
[CTET, 2016]
Direction",c,"Let the blank space is x
\ 1001 × 111 = 110000 + 11x
Now find the value of x
(1000 + 1) × 111 = 110000 + 11x
111000 + 111 = 110000 + 11x
111111 = 110000 + 11x
11x = 111111 – 110000
11x = 1111
1111
x==101
11"
365,"The sum of the perfect squares between 120 and 300 is
[SSC—CHSL (10 + 2) Exam, 2015]",1204,1024,1296,1400,d,
366,"If p3 – q3 = (p – q) (p – q)2 – xpq, then find the value
of x
[SSC—CHSL (10 + 2) Exam, 2015]",1,–3,3,–1,b,
367,"What minimum value should be assigned to *, so
that 2361*48 is exactly divisible by 9?
[ESIC—UDC Exam, 2016]",2,3,9,4,b,"2361*48 will be divisible by 9 if the sum of the digits of
the given number is divisible by 9.
2 + 3 + 6 + 1 + * + 4 + 8 i.e. (24 + *) is divisible by 9.
Clearly, * = 3 because 27 is divisible by 9."
368,"If p, q, r are all real numbers then (pq q r)
− + − +− )
)
is equal to
(
p qq r r p
− −−
)(
)(
)
3
(
3
(r p
3
[SSC—CAPF/CPOExam, 2016]
(",,"3 p qq r r p
− −−",1,0,b,"Time taken by A to complete colouring a picture =
= 0.75 hours
Time taken by B to complete colouring a picture
= 0.58 hours
7
12
Time taken by C to complete colouring a picture
= 0.625 hours
5
8
3
4
hours
= hours
= hours
Time taken by D to complete colouring a picture
hours = 0.85 hours
Hence, B took least time in colouring the picture."
369,"If (a b ab−÷+ = 25, then (a + b) = ?
22
) (
)",30,25,125,"150
[RRB—NTPC Exam, 2016]",b,"Let number be a
According question,
4
5
aa−×= 56
4 45
5 100
35a
100
= ⇒=
56
a
⇒ a = 160
= 65% of a =
65
100
100 56
×
35
×=
160 104"
370,"How many prime numbers are there between 100
to 200?
[CMAT, 2017]",21,20,16,11,a,"Given xy yz z
+ + +=6 :7 : 8
:
:
x
xy yz zx+++===a
67 8
(let)
⇒ x + y = 6a .... (i)
y + z = 7a …(ii)
z + x = 8a …(iii)
On adding all three equations
xyyz z
+ + +++ = + +67 8
of a – 45% of a = 56
6
7
)
2
}"
371,"The least number of five digit is exactly divisible
by 88 is
)(
)(
)",10032,10132,10088,"10023
[SSC Multi-Tasking Staff Exam -2017]",a,"A megabyte is 1.048, 576 bytes or 1,024 kilobytes. It
conveniently expression the binary multiples inherent
in digital computer memory architectures. However,
megabyte architectures. However, megabyte is also taken
to mean 1000 × 1024 (1024000) bytes."
362,"If (the place value of 5 in 15201) + (the place value
of 6 in 2659) = 7 × ____, then the number of the
blank space is:",800,80,90,"900
[CTET, 2016]",a,"The place value of 5 in 15201 = 5000
Place value of 6 in 2659 = 600
\
we have 5000 + 600 = 7x
7x = 5600
x==800
5600
,............,
4 50
 1 37 
\ (a + b + c)2 = 36
⇒ a2 + b2 + c2 + 2ab + 2bc + 2ca = 36
⇒ a2 + b2 + c2 + 2 (ab + bc + ca) = 36
⇒ a2 + b2 + c2 + 2 × 10 = 36
⇒ a2 + b2 + c2 = 16
has a value As we know
+ +
a b c ab bc ca
a b c abc
3 33
2 22
− 3
+ + − −−
a b c abc
ab bc ca
3 33 3
+ +
−
16 − ++ )
(
= 6
a b c abc
3 33 3
+ +
⇒
−
16 10
−
= 6
= ++ (a
b c)NUMBER SYSTEM
49
⇒ (
 − =− − +
{
a b a b a ab b
33 2
(
)(
p q p q pq p q p q xpq
−
)( 22
+ − =− − −
) (
{
) (
2 )}
by cancelling same terms of both sides
⇒ 22 22 2
p q pq p q pq xpq
+− = +− −
{(a b a b ab
− = +−
2 22 2
)
}
⇒ pq = – xpq
⇒ x = – 1"
363,"The sum of digits of a two – digit number is 12 and
the difference between the two – digits of the two –
digit number is",,,,,d,"Let the two – digit number be 10a + b where a > b
According to the question,
a + b = 12 ….(i)
a – b = 6…..(ii)
On adding equation (i) and (ii).
2a = 19
⇒ a = 9
From equation (i),
9 + b = 12
⇒ b = 12 – 9 = 3
\ Number is 10a + b
= 9 × 10 + 3 = 93
\ When a < b. Then required number is = 39"
6,"What is the two – digit number?
[IBPS—RRB Office Assistant (Online) Exam, 2015]
(e) 75",39,84,93,Other than the given options,c,Required sum = (99999 + 10000) = 109999.
364,"The difference between the greatest and the least four
digit numbers that beings with 3 and ends with 5 is
[SSC—CHSL (10 + 2) Exam, 2015]NUMBER SYSTEM
31",,,,,d,"Greatest four digit number that begins with 3 and ends
with 5 = 3995
Least four digit number that begins with 3 and ends with
5 = 3005
⇒ a 3 33 3 66
+ b c abc
+ − =×
⇒ a 3 33 3 36
+ b c abc
+
− ="
372,"The number of three digit numbers which are
multiples of 9 are
[CLAT, 2016]",100,99,98,101,a,"The first 3-digit number which is divisible by 9 is 108 and
last three digit number which is divisible by 9 is 999.
So, we have an AP with a = 108, d = 9 and an = 999
\ an = a + (n – 1)d
⇒ 999 = 108 + (n – 1) 9
⇒ 999 – 108 = (n – 1) 9
⇒ 891 = (n – 1) 9
⇒ (n – 1) =
891
9
= 99
⇒ n + 99 + 1 = 100"
373,"Two consecutive even positive integers, sum of the
squares of which is 1060, are
[CLAT, 2016]
(Question 374): The question below consists of
a question and two statements numbered I and II given
below it. You have to decide whether the data given in
the statements are sufficient to answer the questions. Read
both the statements and given answer.
(A) If the data in statement I alone is sufficient to
answer the question, while the data in statement
II alone is not sufficient to answer the question.
(B) If the data in statement II alone is sufficient to
answer the question, while the data in statement
I alone is not sufficient to answer the question.
(C) If the data either in statement
I alone or
statement II alone is sufficient to answer the
questions.
(D) If the data given in both Statement I and
II together are not sufficient to answer the
question.
(E) If the data in both Statement I and II together
are necessary to answer the question.",12 and 14,20 and 22,22 and 24,"15 and 18
Directions",c,"Let, the two consecutive even numbers are a and (a + 2),
respectively
According to question,
a a
2 22 22
2 1060
++ =
(
)
⇒ a2 + a2 + 4 + 4a = 1060
⇒
{ (a b a b ab
 + = + + 2 }
)
2 2 4 1056 0
a +−a
=
⇒ 2 2 528 0aa
+− =
= ⇒ 2 24 22 528 0
a aa+−− =
⇒ (aa 24 22 24 0
+− a + =
)
⇒(aa−+=2224 0
)(
)
⇒ a = – 24, 22"
374,"What is the number of trees planted in the field in
row and column?
[IBPS—Bank Spl. Officer (Marketing) Exam, 2016]
I. Number of columns is more than the number
of rows by",,,,,d,"The data in both the statements I and II are not sufficient
to answer the question."
4,II. Number of columns is,,,,,d,"Difference between the place values of 7 and 3 in given
numeral = (7000 – 30) = 6970."
20,,,,,,d,"(n + 7) = 88 ⇒ n = (88 – 7) = 81, which is false as
20 < n < 80.
So, the required number is 88."
375,"If n is a natural number and np xx x12 3 ,
= 1 2p p3
where p1, p2, p3 are distinct prime factors, then the
number of prime factors for n is
[CDS, 2016]
(x1 + 1) (x2 + 1) (x3 + 1)",x1 + x2 + x3,"x1, x2, x3",,None of the above,b,"Given n = p1
factors
x1 p2
x2 p3
x3 where p1, p2, p3 are distinct prime
Number of prime factors form = (x1 × x2 × x3) = x1 x2 x3
Hence, option (b) is correct"
376,"Consider the following statements for the sequence
of numbers given below:
11, 111, 1111, 11111, ….",,,,,a,"11, 111, 1111, 11111, …..
Let m = 2 ⇒ 4 × 2 + 3 = 11
m = 27 ⇒ 4 × 27 + 3 = 111
Each number can be expressed in the form (4m + 3) where
m is a natural number
Hence, statement 1 is only correct."
1,"Each number can be expressed in the form
(4m + 3), where m is a natural number.",,,,,c,"w
1
w ww w
1– 2 1
1
2
.
A, B, C are all odd and none of the digits is 3 ⇒ A, B, C
are the digits from 5, 7, 9.
Since A is the largest digit, so A = 9.
\ B = 5 or 7 and C = 5 or 7.
Now, the number DE is the product of two prime numbers.
E = 1 and D = 2, 4, 6 or 8.
41 and 61 are prime numbers and 81 cannot be expressed
as product of two primes.
Only 21 can be expressed as the product of two prime
numbers (21 = 3 × 7).
So, D = 2.
Hence, the number is 95721 or 97521."
2,"Some numbers are squares.
Which of the above statements is/are correct?
[CDS, 2016]
)",1 only,2 only,Both 1 and 2,neither 1 nor 2,a,"+
=40
QUANTITATIVE APTITUDE"
377,"If the sum of two numbers is 14 and their difference
is",,,,,a,"Maximum daily wages of an officers
= H.C.F. of ` 4,956; and ` 3,894
= ` 354
Illustration:
1
x a a a
⇒ (xyz 21a++=
2
)
⇒ × =
2 14 21  + +=
a xyz 14]
[
\ a==×
2 14 4
21 3
\ xy a
+ = =× = 8
66 4
3
\ (= ++ − +
z xyz xy)
) (
= 14 – 8 = 6
708 1062
708
2
354 708
708
×
1062 3894
3186
1
3894 4956
3894
3
(
)50 QUANTITATIVE APTITUDE
Maximum daily wages of an officer = ` 354 Number of Maximum days to attend the duty =
Number of days present on duty =
3894 354
= 11
Number of absent days = 14 – 11 = 3 days 378. Let, the two natural numbers be a and b According to given information \ a2 – b2 = 19 ⇒ (a + b) (a – b) = 19 × 1 ⇒ a + b = 19 ….(i) a – b = 1 …. (ii) On adding, 2a = 20 ⇒ a = 10 From equation (i),
\ 10 + b = 19
4956 354
= 14
⇒ b = 19 – 10 = 9 \ a2 + a2 = (10)2 + (9)2 = 100 + 81 = 181"
10,"Find the product of these two numbers.
[UPSSSC Lower Subordinate (Pre.) Exam, 2016]",24,22,20,18,c,= 168.
378,"If m = −4 , n = −2, then the value of
3
mmm33 33n
− + ++ + is
2
(Tier-I) Exam, 2015]",−120,−124,"−126
n
23
n","−128
[SSC—CGL",c,
379,"If the sum of two numbers is 14 and their difference
is 10, find the product of these two numbers.
[UPSSSC—Lower Subordinate (Pre.) Exam 2016]",18,20,24,22,c,"Let the two numbers be are a and b \ a + b = 14 ….(i)
a – b = 10…(ii) By adding equation (i) and (ii) we get 2a = 24 \ a = 12 and b = 2 \ product of these two numbers = 12 × 2 = 24"
380,"What is the sum of all natural numbers from 1 to
100?
[CLAT-2016]",5050,6000,5000,5052,a,"Let A is to be added then 2x2 + 3x – 5 + A = x2 + x + 1 ⇒
A x x = − +− + − ⇒ = − +− − + 2 1 2 3 5 ( = – x2 – 4x + 4 x x A x x 12 3 5 2 22 )"
